"Gene.Set","RNA.Expression.P.val","RNA.Expression.Enrichment.Score","RNA.Expression.P.adj","TSS.Coverage.P.val","TSS.Coverage.Enrichment.Score","TSS.Coverage.P.adj","Methylation.P.val","Methylation.Enrichment.Score","Methylation.P.adj","CpG.Coverage.P.val","CpG.Coverage.Enrichment.Score","CpG.Coverage.P.adj","LE.Intersect.1","LE.Intersect.2","LE.Intersect.3","LE.Intersect.4","LE.Intersect.5","LE.Intersect.6","LE.Intersect.7","LE.Intersect.8","LE.Intersect.9","LE.Intersect.10","LE.Intersect.11","LE.Intersect.12","LE.Intersect.13","LE.Intersect.14","LE.Intersect.15","LE.Intersect.16","LE.Intersect.17","LE.Intersect.18","LE.Intersect.19","LE.Intersect.20","LE.Intersect.21","LE.Intersect.22","LE.Intersect.23","LE.Intersect.24","LE.Intersect.25","LE.Intersect.26","LE.Intersect.27","LE.Intersect.28","LE.Intersect.29","LE.Intersect.30","LE.Intersect.31","LE.Intersect.32","LE.Intersect.33","LE.Intersect.34","LE.Intersect.35","LE.Intersect.36","LE.Intersect.37","LE.Intersect.38","LE.Intersect.39","LE.Intersect.40","LE.Intersect.41","LE.Intersect.42","LE.Intersect.43","LE.Intersect.44","LE.Intersect.45","LE.Intersect.46","LE.Intersect.47","LE.Intersect.48","LE.Intersect.49","LE.Intersect.50","LE.Intersect.51","LE.Intersect.52","LE.Intersect.53","LE.Intersect.54","LE.Intersect.55","LE.Intersect.56","LE.Intersect.57","LE.Intersect.58","LE.Intersect.59","LE.Intersect.60","LE.Intersect.61","LE.Intersect.62","LE.Intersect.63","LE.Intersect.64","LE.Intersect.65","LE.Intersect.66","LE.Intersect.67","LE.Intersect.68","LE.Intersect.69","LE.Intersect.70","LE.Intersect.71","LE.Intersect.72","LE.Intersect.73","LE.Intersect.74","LE.Intersect.75","LE.Intersect.76","LE.Intersect.77","LE.Intersect.78","LE.Intersect.79"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",1e-04,0.225494043521566,0.000165384615384615,1e-04,-0.159229719636991,0.00018695652173913,0.4245,0.0848367837576934,0.598640625,0.0068,-0.165007962517754,0.0194933333333333,"CD83","B4GALT1","DUSP1","EIF1","CXCL3","NINJ1","SOCS3","B4GALT5","DENND5A","RHOB","SPHK1","RELA","ZFP36","TNIP2","DDX58","SNN","TNFAIP2","PHLDA2","IFNGR2","FOSL2","CDKN1A","SMAD3","SLC2A6","CSF1","TRIB1","FOSL1","FOSB","BCL6","ID2","TANK","IER2","IL15RA","MAFF","EGR3","KLF6","TUBB2A","TNFSF9","BHLHE40","EHD1","GADD45B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_HYPOXIA",1e-04,0.170904085538632,0.000165384615384615,0.1844,-0.0779441228020411,0.188790476190476,0.6683,-0.0716569928768698,0.774220512820513,0.5479,-0.0789028681861808,0.619992105263158,"DDIT3","FOS","MXI1","SDC3","KLF7","SLC6A6","DUSP1","MYH9","PRKCA","PLAUR","TPST2","NR3C1","VHL","PNRC1","NDST2","MT1E","EXT1","ZFP36","HDLBP","SAP30","EFNA3","GRHPR","FOSL2","TGFB3","PAM","FBP1","CXCR4","ALDOC","BCL2","RRAGD","PLIN2","CITED2","ANXA2","SCARB1","NEDD4L","ERRFI1","CCN1","GPI","PGF","TGM2","CASP6","TIPARP","ZNF292","SLC2A1","ALDOA","ERO1A","CDKN1C","AMPD3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_MITOTIC_SPINDLE",1e-04,0.401382044041673,0.000165384615384615,1e-04,-0.344768625355409,0.00018695652173913,0.0342,-0.14762438321653,0.12255,1e-04,-0.240261954638142,0.00086,"CAPZB","VCL","PREX1","CLIP2","CDC42","HOOK3","SOS1","MYH9","ARHGEF2","TLK1","RANBP9","LLGL1","SPTAN1","STAU1","INCENP","NCK2","CTTN","CEP192","NF1","PCGF5","GEMIN4","DYNLL2","CD2AP","ALMS1","TUBGCP3","EPB41","SAC3D1","LRPPRC","KIF11","STK38L","APC","NCK1","RACGAP1","CCDC88A","ARAP3","CDK5RAP2","TTK","KIF3C","GSN","KATNA1","PKD2","KATNB1","LATS1","CENPE","BCL2L11","DOCK2","ECT2","CCNB2","TOP2A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_G2M_CHECKPOINT",1e-04,0.56477369702427,0.000165384615384615,1e-04,-0.331746872846178,0.00018695652173913,1e-04,-0.234624083959106,0.00215,7e-04,-0.212067613619229,0.00334444444444444,"PDS5B","CTCF","H2AZ2","HNRNPD","CHAF1A","UPF1","INCENP","SQLE","NASP","XPO1","H2AX","E2F3","H2AZ1","CUL4A","SLC7A1","KMT5A","SAP30","MCM5","HMGA1","TRA2B","KIF11","GINS2","UBE2S","CUL1","RACGAP1","PRPF4B","MTF2","EXO1","CENPA","TTK","CDC25A","SS18","CBX1","TRAIP","KATNA1","CENPE","CDC20","CCNA2","MCM6","MYBL2","TLE3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_APOPTOSIS",1e-04,0.265340177896946,0.000165384615384615,4e-04,-0.167083690391236,0.000614285714285714,0.2478,-0.113992866904437,0.435953846153846,0.0316,-0.161622945901803,0.0657285714285714,"TIMP2","SLC20A1","ETF1","IGF2R","SPTAN1","BMF","PTK2","GSR","DNAJA1","MADD","SOD2","IRF1","DNM1L","IFNGR1","CFLAR","BTG2","GADD45A","CTH","ANKH","GSN","SOD1","PSEN2","DPYD","DFFA","TOP2A","JUN","LMNA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_ADIPOGENESIS",1e-04,0.322280896398975,0.000165384615384615,1e-04,-0.168728970727311,0.00018695652173913,0.6171,-0.0785422304105015,0.758151428571429,0.0181,-0.159374460245265,0.0457823529411765,"POR","DECR1","CHCHD10","RNF11","SDHB","CD151","CMPK1","ATL2","NMT1","GHITM","IDH3A","VEGFB","TKT","CHUK","UBQLN1","BCKDHA","HIBCH","IFNGR1","SAMM50","MTCH2","GADD45A","IDH1","PLIN2","COQ5","SCARB1","MYLK","NDUFAB1","SOD1","TANK","MCCC1","MRPL15","ACLY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.0013,0.136633825633655,0.00186333333333333,0.1756,-0.0786680966518715,0.184165853658537,0.8633,0.0562298390676696,0.8633,0.0564,0.125914307529313,0.10544347826087,"TUBB2B","TFAP2C","RPS6KA2","CYP26B1","SULT2B1","MAPT","TIAM1","OVOL2","CCND1","SIAH2","PODXL","TJP3","TBC1D30","SLC16A1","FLNB","BCL11B","CELSR1","PLAAT3","MYBBP1A","CANT1","IL17RB","SLC27A2","CBFA2T3","HES1","FOXC1","MYC","RRP12","KLF10","FASN","ADCY9","SFN","CELSR2","BHLHE40","SYNGR1","DHCR7","SLC1A1","DEPTOR","SH3BP5","IGFBP4","EGR3","RETREG1","SLC2A1","MREG","AFF1","TIPARP","AQP3","PMAIP1","TGM2","PRSS23","KDM4B","TTC39A","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.0024,0.13441620793978,0.003225,0.1156,-0.0858711518494806,0.130810526315789,0.4144,-0.0844295666334932,0.598640625,0.1654,0.107264995928707,0.252513793103448,"TFAP2C","CYP26B1","SULT2B1","MAPT","CAV1","SGK1","TIAM1","OVOL2","CHST8","NMU","CXCL14","SLC16A1","FLNB","EMP2","COX6C","CACNA2D2","PLAAT3","ASS1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_MYOGENESIS",0.0047,-0.126485647018778,0.00612424242424242,1e-04,0.187999943268849,0.00018695652173913,0.0019,0.201309875036686,0.0100333333333333,0.0688,0.141216268400809,0.118336,"COX7A1","MYOM2","ACTA1","SPDEF","TNNT3","MYH3","SPEG","MYBPC3","EFS","DES","SOD3","COL15A1","FXYD1","MYOG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_INTERFERON_GAMMA_RESPONSE",1e-04,0.23040450480431,0.000165384615384615,0.3323,0.0668699435437318,0.3323,0.0029,-0.232031297881469,0.01247,0.0312,-0.179298862080941,0.0657285714285714,"HERC6","NMI","VAMP8","PARP14","ARID5B","LYSMD2","TRIM14","PNP","PSMB2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_APICAL_JUNCTION",0.0261,0.104220227326825,0.0303324324324324,0.0721,-0.0928658926616605,0.08858,0.2636,0.104860489324685,0.435953846153846,0.0668,0.136906087804736,0.118336,"ACTA1","CX3CL1","ACTG1","FSCN1","SPEG","EGFR","VAV2","CDH15","ATP1A3","FLNC","SORBS3","AMH","NECTIN1","MYL9","NRXN2","ICAM5","MVD","BAIAP2","ITGB4","CDH6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_COMPLEMENT",9e-04,0.141414636039808,0.00138214285714286,0.1014,-0.0872101112826315,0.117843243243243,0.2883,0.104997062346918,0.459144444444444,0.5953,-0.0817796836490993,0.6399475,"TIMP2","BRPF3","PPP2CB","CASP9","LAP3","RHOG","PRKCD","CA2","USP8","KIF2A","LYN","MSRB1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_MTORC1_SIGNALING",1e-04,0.553941278531041,0.000165384615384615,1e-04,-0.243768142149354,0.00018695652173913,5e-04,-0.224587242440756,0.0043,1e-04,-0.233764378396689,0.00086,"INSIG1","PPIA","ETF1","CALR","XBP1","GSR","SQLE","RPN1","ATP2A2","HSPA4","MAP2K3","ACSL3","RAB1A","GTF2H1","PSMA3","GGA2","SORD","BTG2","PSME3","IDH1","CXCR4","CDC25A","RRM2","SSR1","PSMC4","SLC2A1","ERO1A","EEF1E1","CTSC","HMBS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
